FID,LAD24CD,LAD24NM,LAD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
82,E07000045,Teignbridge, ,283144,80205,-3.65289,50.6098,680023290.435192,162413.334965578
83,E07000046,Torridge, ,244206,114334,-4.21728,50.9074,995283584.978359,328433.656031723
84,E07000047,West Devon, ,256378,86992,-4.03358,50.6648,1164747277.10076,242096.476665884
85,E07000061,Eastbourne, ,559339,99575,0.258516,50.7739,45363463.6831207,41208.9329438855
86,E07000062,Hastings, ,581528,110694,0.578395,50.8672,30811686.444355,37731.8718722945
87,E07000063,Lewes, ,541473,105687,0.007658,50.8334,294408327.961918,117756.282102545
88,E07000064,Rother, ,578721,119666,0.542937,50.9487,517787485.223473,169650.260098133
89,E07000065,Wealden, ,555048,117181,0.205156,50.9332,836033786.759762,224151.594878373
90,E07000066,Basildon, ,571548,190849,0.475056,51.5904,110462488.084396,59840.0260154795
91,E07000067,Braintree, ,577253,227337,0.575912,51.9164,611710014.075996,169284.517391182
92,E07000068,Brentwood, ,558560,196070,0.290091,51.6411,153117698.76741,72558.1495836345
93,E07000069,Castle Point, ,579493,187920,0.588127,51.5616,63609382.2118073,45431.878912255
94,E07000070,Chelmsford, ,572116,206972,0.491177,51.735,342992272.518448,113289.34086324
95,E07000071,Colchester, ,596947,223692,0.85982,51.877,346105259.316818,124453.357275332
96,E07000072,Epping Forest, ,548919,203757,0.154146,51.7128,338975708.834915,123329.712744233
97,E07000073,Harlow, ,545276,209589,0.103888,51.7661,30543700.8967896,28511.4665080652
98,E07000074,Maldon, ,591413,212072,0.773106,51.7746,428030761.302948,109096.118093717
99,E07000075,Rochford, ,585979,191417,0.683442,51.5909,262936661.039642,195185.814055076
100,E07000076,Tendring, ,614190,222141,1.10898,51.8567,366127132.146255,103004.602952239
101,E07000077,Uttlesford, ,557833,228863,0.294499,51.9359,641152728.467674,166619.224347436
102,E07000078,Cheltenham, ,394925,222232,-2.07515,51.8986,46595493.5040131,38181.2991605061
103,E07000079,Cotswold, ,402126,208209,-1.97058,51.7725,1164489004.44947,333673.551188598
104,E07000080,Forest of Dean, ,367175,212759,-2.47755,51.8125,561786933.471745,191705.199157106
105,E07000081,Gloucester, ,384071,216449,-2.23263,51.8464,40826626.3280716,31276.0381980173
106,E07000082,Stroud, ,378807,202410,-2.30818,51.72,475524911.699989,172332.038689692
107,E07000083,Tewkesbury, ,386348,226281,-2.19997,51.9349,414946878.243973,201812.928175498
108,E07000084,Basingstoke and Deane, ,454507,151423,-1.22023,51.2594,633811174.495274,143622.213623372
109,E07000085,East Hampshire, ,474408,129247,-0.93965,51.0577,514413105.052132,144851.410247594
110,E07000086,Eastleigh, ,447199,116807,-1.32947,50.9488,85297812.855999,68080.4349378043
111,E07000087,Fareham, ,453774,106319,-1.23742,50.8539,77854977.4134178,55962.0406420357
112,E07000088,Gosport, ,458769,101088,-1.16731,50.8064,27607193.3976173,25692.5753957663
113,E07000089,Hart, ,477985,154241,-0.88321,51.282,215253775.105827,78043.477946972
114,E07000090,Havant, ,470178,108564,-1.00398,50.8723,78957136.6934509,56392.0274689766
115,E07000091,New Forest, ,428748,106524,-1.59293,50.8575,775108359.367805,191969.017146303
116,E07000092,Rushmoor, ,486022,153944,-0.76807,51.2781,39049590.276001,32056.5400637585
117,E07000093,Test Valley, ,434930,137329,-1.50214,51.1342,627683258.929306,186116.261054333
118,E07000094,Winchester, ,453115,125901,-1.24393,51.03,661063052.020782,168164.226343715
119,E07000095,Broxbourne, ,534742,204251,-0.05073,51.7208,51456853.5466309,39087.0407086265
120,E07000096,Dacorum, ,500084,208745,-0.55098,51.7685,212479621.91333,110205.972165118
121,E07000098,Hertsmere, ,519774,199352,-0.26899,51.6802,101127083.723381,61233.5551431596
122,E07000099,North Hertfordshire, ,522191,230250,-0.22316,51.9573,375379950.670502,168557.841289921
123,E07000102,Three Rivers, ,507313,196418,-0.45005,51.6563,88822699.8204575,74113.2646883357
124,E07000103,Watford, ,510441,198197,-0.40429,51.6717,21430351.4039917,26392.3637917563
125,E07000105,Ashford, ,597640,140644,0.823374,51.131,580640264.523735,149685.351421284
126,E07000106,Canterbury, ,616031,158096,1.09633,51.281,318595981.983345,123507.377748809
127,E07000107,Dartford, ,556167,172917,0.245276,51.4337,76321560.0647049,52447.2784116124
