FID,LAD24CD,LAD24NM,LAD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
326,S12000033,Aberdeen City, ,387763,808479,-2.20398,57.167,205593137.347046,98984.0897528847
327,S12000034,Aberdeenshire, ,352284,816277,-2.79208,57.2347,6338590314.78639,793298.260088242
328,S12000035,Argyll and Bute, ,200740,715443,-5.22114,56.2894,7164499852.97595,3883571.88725939
329,S12000036,City of Edinburgh, ,320193,669417,-3.27826,55.9112,272974993.034897,109627.319923373
330,S12000038,Renfrewshire, ,239305,664698,-4.56834,55.8486,269241034.350906,104425.985498344
331,S12000039,West Dunbartonshire, ,242904,681586,-4.52074,56.0014,182774620.36618,84869.5637052113
332,S12000040,West Lothian, ,299483,668514,-3.60909,55.8992,431578053.597046,137451.173240124
333,S12000041,Angus, ,345506,759636,-2.8921,56.7252,2202158849.24402,322320.272261477
334,S12000042,Dundee City, ,340291,732145,-2.97095,56.4776,62377977.8387909,52697.0975437701
335,S12000045,East Dunbartonshire, ,261240,676154,-4.22417,55.9583,174489367.389282,99576.4873828916
336,S12000047,Fife, ,339187,704720,-2.98251,56.2311,1372537491.86765,364017.78129123
337,S12000048,Perth and Kinross, ,284302,744185,-3.88484,56.5753,5418684654.29614,562498.878297335
338,S12000049,Glasgow City, ,261534,667033,-4.21479,55.8765,176357609.92836,108661.304980942
339,S12000050,North Lanarkshire, ,277984,665608,-3.9514,55.8681,472299789.69725,164151.600913007
340,W06000001,Isle of Anglesey,Ynys Môn,245217,378331,-4.32298,53.2793,747234339.971413,289076.809649267
341,W06000002,Gwynedd,Gwynedd,280555,334966,-3.77715,52.8988,2619908969.20119,488949.255846641
342,W06000003,Conwy,Conwy,283293,362563,-3.74646,53.1474,1149818292.44601,242399.235890808
343,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.0883,846287717.528046,220845.572492339
344,W06000005,Flintshire,Sir y Fflint,321134,369280,-3.18248,53.2147,489596508.123192,143286.478248951
345,W06000006,Wrexham,Wrecsam,333523,345387,-2.99203,53.0017,503770642.699158,190048.399666585
346,W06000008,Ceredigion,Ceredigion,267127,268437,-3.94993,52.298,1806776236.59684,340125.468645103
347,W06000009,Pembrokeshire,Sir Benfro,199821,221392,-4.90818,51.8551,1650972374.03798,629318.151878349
348,W06000010,Carmarthenshire,Sir Gaerfyrddin,247955,224133,-4.21109,51.895,2439507080.84095,364146.63802275
349,W06000011,Swansea,Abertawe,264022,197308,-3.96723,51.6581,419609282.27866,168824.411934112
350,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638,51.6445,451724638.814014,134281.214761845
351,W06000013,Bridgend,Pen-y-bont ar Ogwr,288231,185870,-3.61375,51.5606,255120807.236393,90920.1907525187
352,W06000014,Vale of Glamorgan,Bro Morgannwg,302947,173080,-3.39801,51.4484,339809088.051445,102832.790105541
353,W06000015,Cardiff,Caerdydd,315272,178887,-3.22209,51.5025,149438516.277054,70622.3435119744
354,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41359,51.6218,424152346.77774,130212.854183576
355,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753,51.65,277386291.900936,116220.388243187
356,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.7536,108728050.004372,65601.7710730727
357,W06000020,Torfaen,Torfaen,327459,200480,-3.05101,51.6984,126240979.289165,82554.336126883
358,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.9028,51.7783,886024164.564793,250881.356416344
359,W06000022,Newport,Casnewydd,337897,187432,-2.89769,51.5823,217526914.249184,136252.650895343
360,W06000023,Powys,Powys,302329,273254,-3.43531,52.3486,5195456587.77259,607425.066686147
361,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206404,-3.36425,51.7484,111956283.577446,66951.1267677845
